Data,Godzina,RCE
20230114,7,431.03
20230114,8,458.82
20230114,9,463.29
20230114,10,461.31
20230114,11,463.62
20230114,12,480.78
20230114,13,476.69
20230114,14,490.66
20230114,15,504.45
20230114,16,527.57
20230114,17,544.57
20230114,18,543.53
20230114,19,499.54
20230114,20,478.34
20230114,21,457.45
20230114,22,453.93
20230114,23,383.26
20230114,24,318.3
20230115,1,119.23
20230115,2,117.53
20230115,3,83.68
20230115,4,83.71
20230115,5,94.85
20230115,6,118.68
20230115,7,131.06
20230115,8,196.74
20230115,9,279.21
20230115,10,377.15
20230115,11,387.85
20230115,12,415.48
20230115,13,408.32
20230115,14,432.48
20230115,15,435.69
20230115,16,453.94
20230115,17,441.06
20230115,18,445.36
20230115,19,405.98
20230115,20,417.92
20230115,21,397.28
20230115,22,404.4
20230115,23,384.14
20230115,24,303.03
20230116,1,323.14
20230116,2,327.88
20230116,3,305.46
20230116,4,347.57
20230116,5,349.91
20230116,6,439.81
20230116,7,598.48
20230116,8,765.35
20230116,9,769.88
20230116,10,796.43
20230116,11,749.81
20230116,12,787.43
20230116,13,776.12
20230116,14,799.92
20230116,15,810.16
20230116,16,856.4
20230116,17,798.24
20230116,18,806.16
20230116,19,734.84
20230116,20,719.25
20230116,21,667.66
20230116,22,592.95
20230116,23,591.93
20230116,24,476.71
20230117,1,463.44
20230117,2,452.81
20230117,3,436.07
20230117,4,435.26
20230117,5,446.61
20230117,6,480.47
20230117,7,577.57
20230117,8,677.28
20230117,9,720.7
20230117,10,721.85
20230117,11,639.59
20230117,12,632.98
20230117,13,608.42
20230117,14,667.14
20230117,15,714.73
20230117,16,788.73
20230117,17,828.94
20230117,18,851.46
20230117,19,840.33
20230117,20,866.05
20230117,21,811.26
20230117,22,754.42
20230117,23,708.27
20230117,24,613.45
20230118,1,623.98
20230118,2,598.97
20230118,3,573.33
20230118,4,573.15
20230118,5,553.01
20230118,6,599.89
20230118,7,713.29
20230118,8,853.94
20230118,9,912.02
20230118,10,884.77
20230118,11,816.76
20230118,12,805.11
20230118,13,754.63
20230118,14,792.46
20230118,15,770.83
20230118,16,800.05
20230118,17,819.53
20230118,18,849.39
20230118,19,819.54
20230118,20,811.67
20230118,21,745.86
20230118,22,667.76
20230118,23,687.35
20230118,24,605.09
20230119,1,649.86
20230119,2,627.76
20230119,3,621.06
20230119,4,619.1
20230119,5,612.57
20230119,6,643.24
20230119,7,747.98
20230119,8,821.77
20230119,9,887.08
20230119,10,844.91
20230119,11,820.6
20230119,12,831.05
20230119,13,807.79
20230119,14,885.36
20230119,15,886.11
20230119,16,857.79
20230119,17,890.39
20230119,18,921.71
20230119,19,918.78
20230119,20,902.32
20230119,21,839.22
20230119,22,727.29
20230119,23,712.55
20230119,24,673.55
20230120,1,710.16
20230120,2,674.13
20230120,3,666.72
20230120,4,650.04
20230120,5,666.29
20230120,6,725.32
20230120,7,804.36
20230120,8,950.26
20230120,9,979.63
20230120,10,978.0
20230120,11,955.08
20230120,12,947.63
20230120,13,934.3
20230120,14,924.31
20230120,15,925.28
20230120,16,935.47
20230120,17,945.71
20230120,18,956.4
20230120,19,946.54
20230120,20,943.78
20230120,21,849.14
20230120,22,740.58
20230120,23,735.66
20230120,24,690.35
20230121,1,604.92
20230121,2,516.04
20230121,3,498.57
20230121,4,486.58
20230121,5,494.14
20230121,6,472.0
20230121,7,484.72
20230121,8,497.87
20230121,9,529.45
20230121,10,516.1
20230121,11,528.29
20230121,12,525.47
20230121,13,525.42
20230121,14,525.21
20230121,15,535.11
20230121,16,528.93
20230121,17,579.55
20230121,18,574.93
20230121,19,570.98
20230121,20,540.3
20230121,21,543.68
20230121,22,516.45
20230121,23,536.71
20230121,24,493.21
20230122,1,513.8
20230122,2,472.29
20230122,3,469.01
20230122,4,455.76
20230122,5,461.17
20230122,6,470.35
20230122,7,498.61
20230122,8,513.79
20230122,9,549.29
20230122,10,577.41
20230122,11,630.22
20230122,12,650.72
20230122,13,681.7
20230122,14,656.32
20230122,15,702.91
20230122,16,675.38
20230122,17,730.38
20230122,18,704.78
20230122,19,767.82
20230122,20,682.51
20230122,21,707.47
20230122,22,622.69
20230122,23,636.97
20230122,24,569.8
20230123,1,676.86
20230123,2,658.37
20230123,3,662.28
20230123,4,660.52
20230123,5,670.79
20230123,6,701.79
20230123,7,837.28
20230123,8,970.94
20230123,9,1044.11
20230123,10,1052.72
20230123,11,1038.15
20230123,12,996.06
20230123,13,971.97
20230123,14,964.62
20230123,15,958.06
20230123,16,956.65
20230123,17,999.27
20230123,18,1029.62
20230123,19,984.25
20230123,20,956.63
20230123,21,941.22
20230123,22,875.07
20230123,23,813.21
20230123,24,718.95
20230124,1,784.0
20230124,2,742.14
20230124,3,740.35
20230124,4,719.84
20230124,5,741.4
20230124,6,777.04
20230124,7,853.25
20230124,8,949.73
20230124,9,1001.19
20230124,10,1004.57
20230124,11,981.83
20230124,12,970.52
20230124,13,962.1
20230124,14,962.27
20230124,15,955.88
20230124,16,957.04
20230124,17,968.28
20230124,18,972.9
20230124,19,959.54
20230124,20,971.12
20230124,21,915.35
20230124,22,844.03
20230124,23,801.26
20230124,24,744.18
20230125,1,750.59
20230125,2,740.53
20230125,3,742.71
20230125,4,727.92
20230125,5,729.42
20230125,6,768.55
20230125,7,829.67
20230125,8,927.22
20230125,9,966.02
20230125,10,963.25
20230125,11,951.05
20230125,12,931.58
20230125,13,920.14
20230125,14,916.51
20230125,15,923.18
20230125,16,931.9
20230125,17,945.61
20230125,18,944.51
20230125,19,943.09
20230125,20,928.75
20230125,21,867.4
20230125,22,796.99
20230125,23,795.46
20230125,24,721.98
20230126,1,709.72
20230126,2,688.13
20230126,3,686.06
20230126,4,673.58
20230126,5,700.78
20230126,6,734.05
20230126,7,788.32
20230126,8,881.53
20230126,9,928.57
20230126,10,926.14
20230126,11,913.43
20230126,12,905.66
20230126,13,886.16
20230126,14,889.96
20230126,15,885.47
20230126,16,887.78
20230126,17,916.68
20230126,18,901.95
20230126,19,908.86
20230126,20,872.71
20230126,21,819.07
20230126,22,743.68
20230126,23,760.56
20230126,24,692.48
20230127,1,696.32
20230127,2,681.87
20230127,3,656.3
20230127,4,649.95
20230127,5,655.05
20230127,6,672.53
20230127,7,730.77
20230127,8,814.22
20230127,9,847.09
20230127,10,847.98
